phrase,bk.ch,context,information,I,clarity,illuminating,line no,character
to say the truth,10.01,"In the next place, we must admonish thee, my worthy friend (for,
perhaps, thy heart may be better than thy head), not to condemn a
character as a bad one, because it is not perfectly a good one. If
thou dost delight in these models of perfection, there are books enow
written to gratify thy taste; but, as we have not, in the course of
our conversation, ever happened to meet with any such person, we have
not chosen to introduce any such here. To say the truth, I a little
question whether mere man ever arrived at this consummate degree of
excellence, as well as whether there hath ever existed a monster bad
enough to verify that

      _----nulla virtute redemptum
       A vitiis_----[*]

  [*] Whose vices are not allayed with a single virtue

in Juvenal; nor do I, indeed, conceive the good purposes served by
inserting characters of such angelic perfection, or such diabolical
depravity, in any work of invention; since, from contemplating either,
the mind of man is more likely to be overwhelmed with sorrow and shame
than to draw any good uses from such patterns; for in the former
instance he may be both concerned and ashamed to see a pattern of
excellence in his nature, which he may reasonably despair of ever
arriving at; and in contemplating the latter he may be no less
affected with those uneasy sensations, at seeing the nature of which
he is a partaker degraded into so odious and detestable a creature.",,I a little question,obfuscatory,the world,1857,Tom?
to say the truth,10.02,"To say the truth, there are several ceremonies instituted among the
polished part of mankind, which, though they may, to coarser
judgments, appear as matters of mere form, are found to have much of
substance in them, by the more discerning; and lucky would it have
been had the custom above mentioned been observed by our gentleman in
the present instance. Knock, indeed, he did at the door, but not with
one of those gentle raps which is usual on such occasions. On the
contrary, when he found the door locked, he flew at it with such
violence, that the lock immediately gave way, the door burst open, and
he fell headlong into the room.",,,oblique,the world,1869,Mr Fitzpatrick
to say the truth,10.05,"To say the truth, this behaviour of Partridge was a little
inexcusable; but he had not slept off the effect of the dose which he
swallowed the evening before; which had, in the morning, received the
addition of above a pint of wine, or indeed rather of malt spirits;
for the perry was by no means pure. Now, that part of his head which
Nature designed for the reservoir of drink being very shallow, a small
quantity of liquor overflowed it, and opened the sluices of his heart;
so that all the secrets there deposited run out. These sluices were
indeed, naturally, very ill-secured. To give the best-natured turn we
can to his disposition, he was a very honest man; for, as he was the
most inquisitive of mortals, and eternally prying into the secrets of
others, so he very faithfully paid them by communicating, in return,
everything within his knowledge.",interior,,oblique,current novelistic events,1928,Mr Partridge
,,"Maclachlan, who was much the sharper man of the two, no sooner heard that this lady came from Chester, with the other circumstances which he learned from the hostler, than it came into his head that she might possibly be his friend's wife; and presently acquainted him with this suspicion, which had never once occurred to Fitzpatrick himself. To say the truth, he was one of those compositions which nature makes up in too great a hurry, and forgets to put any brains into their heads.",,,verbose,character,1951,Mr Fitzpatrick
to confess the truth,11.03,"Sophia, who was yielding to an excess, when she could neither laugh nor reason her cousin out of these apprehensions, at last gave way to them. Perhaps, indeed, had she known of her father's arrival at Upton, it might have been more difficult to have persuaded her; for as to Jones, she had, I am afraid, no great horror at the thoughts of being overtaken by him; nay, to confess the truth, I believe she rather wished than feared it; though I might honestly enough have concealed this wish from the reader, as it was one of those secret spontaneous emotions of the soul to which the reason is often a stranger.",interior,I believe,verbose,current novelistic events,2096,Sophia
to say truth,11.08,"Sophia was very soon eased of her causeless fright by the entry of the
noble peer, who was not only an intimate acquaintance of Mrs
Fitzpatrick, but in reality a very particular friend of that lady. To
say truth, it was by his assistance that she had been enabled to
escape from her husband; for this nobleman had the same gallant
disposition with those renowned knights of whom we read in heroic
story, and had delivered many an imprisoned nymph from durance. He was
indeed as bitter an enemy to the savage authority too often exercised
by husbands and fathers, over the young and lovely of the other sex,
as ever knight-errant was to the barbarous power of enchanters; nay,
to say truth, I have often suspected that those very enchanters with
which romance everywhere abounds were in reality no other than the
husbands of those days; and matrimony itself was, perhaps, the
enchanted castle in which the nymphs were said to be confined.",,I have often suspected,verbose,writing,2191,Irish peer
to say truth,11.08,"Sophia was very soon eased of her causeless fright by the entry of the
noble peer, who was not only an intimate acquaintance of Mrs
Fitzpatrick, but in reality a very particular friend of that lady. To
say truth, it was by his assistance that she had been enabled to
escape from her husband; for this nobleman had the same gallant
disposition with those renowned knights of whom we read in heroic
story, and had delivered many an imprisoned nymph from durance. He was
indeed as bitter an enemy to the savage authority too often exercised
by husbands and fathers, over the young and lovely of the other sex,
as ever knight-errant was to the barbarous power of enchanters; nay,
to say truth, I have often suspected that those very enchanters with
which romance everywhere abounds were in reality no other than the
husbands of those days; and matrimony itself was, perhaps, the
enchanted castle in which the nymphs were said to be confined.",exterior,,oblique,past novelistic events,2191,Mrs Fitzpatrick
to confess the truth,11.10,"A second degree of this quality seems to arise from the head. This is, indeed, no other than the faculty of seeing what is before your eyes, and of drawing conclusions from what you see. The former of these is unavoidable by those who have any eyes, and the latter is perhaps no less certain and necessary a consequence of our having any brains. This is altogether as bitter an enemy to guilt as the former is to innocence: nor can I see it in an unamiable light, even though, through human fallibility, it should be sometimes mistaken. For instance, if a husband should accidentally surprize his wife in the lap or in the embraces of some of those pretty young gentlemen who profess the art of cuckold-making, I should not highly, I think, blame him for concluding something more than what he saw, from the familiarities which he really had seen, and which we are at least favourable enough to when we call them innocent freedoms. The reader will easily suggest great plenty of instances to himself; I shall add but one more, which, however unchristian it may be thought by some, I cannot help esteeming to be strictly justifiable; and this is a suspicion that a man is capable of doing what he hath done already, and that it is possible for one who hath been a villain once to act the same part again. And, to confess the truth, of this degree of suspicion I believe Sophia was guilty. From this degree of suspicion she had, in fact, conceived an opinion that her cousin was really not better than she should be.",interior,I believe,blunt,current novelistic events,2218,Sophia
to say truth,12.03,"At length we are once more come to our heroe; and, to say truth, we
have been obliged to part with him so long, that, considering the
condition in which we left him, I apprehend many of our readers have
concluded we intended to abandon him for ever; he being at present in
that situation in which prudent people usually desist from enquiring
any farther after their friends, lest they should be shocked by
hearing such friends had hanged themselves.",,I apprehend,obfuscatory,writing,2253,Tom
to say the truth,12.03,"We would bestow some pains here in minutely describing all the mad
pranks which Jones played on this occasion, could we be well assured
that the reader would take the same pains in perusing them; but as we
are apprehensive that, after all the labour which we should employ in
painting this scene, the said reader would be very apt to skip it
entirely over, we have saved ourselves that trouble. To say the truth,
we have, from this reason alone, often done great violence to the
luxuriance of our genius, and have left many excellent descriptions
out of our work, which would otherwise have been in it. And this
suspicion, to be honest, arises, as is generally the case, from our
own wicked heart; for we have, ourselves, been very often most
horridly given to jumping, as we have run through the pages of
voluminous historians.",,we have […] done great violence,verbose,writing,2259,this novel
to say the truth,12.07,"But, though title and fortune communicate a splendor all around them,
and the footmen of men of quality and of estate think themselves
entitled to a part of that respect which is paid to the quality and
estate of their masters, it is clearly otherwise with regard to virtue
and understanding. These advantages are strictly personal, and swallow
themselves all the respect which is paid to them. To say the truth,
this is so very little, that they cannot well afford to let any others
partake with them. As these therefore reflect no honour on the
domestic, so neither is he at all dishonoured by the most deplorable
want of both in his master. Indeed it is otherwise in the want of what
is called virtue in a mistress, the consequence of which we have
before seen: for in this dishonour there is a kind of contagion,
which, like that of poverty, communicates itself to all who approach
it.",,,verbose,the world,2324,Mr Partridge
to say truth,12.08,"Hard therefore was it, and perhaps, in the opinion of many sagacious
readers, very absurd and monstrous, that he should principally owe his
present misfortune to the supposed want of that delicacy with which he
so abounded; for, in reality, Sophia was much more offended at the
freedoms which she thought (and not without good reason) he had taken
with her name and character, than at any freedoms, in which, under his
present circumstances, he had indulged himself with the person of
another woman; and to say truth, I believe Honour could never have
prevailed on her to leave Upton without her seeing Jones, had it not
been for those two strong instances of a levity in his behaviour, so
void of respect, and indeed so highly inconsistent with any degree of
love and tenderness in great and delicate minds.",interior,I believe,verbose,current novelistic events,2366,Sophia
to say truth,12.12,"Had this history been writ in the days of superstition, I should have
had too much compassion for the reader to have left him so long in
suspense, whether Beelzebub or Satan was about actually to appear in
person, with all his hellish retinue; but as these doctrines are at
present very unfortunate, and have but few, if any believers, I have
not been much aware of conveying any such terrors. To say truth, the
whole furniture of the infernal regions hath long been appropriated by
the managers of playhouses, who seem lately to have laid them by as
rubbish, capable only of affecting the upper gallery; a place in which
few of our readers ever sit.",,,verbose,writing,2441,this novel
,,"The poor fellow now began to implore mercy of the conqueror: for, to say the truth, he was in strength by no means a match for Jones. “Indeed, sir,” says he, “I could have had no intention to shoot you; for you will find the pistol was not loaded. This is the first robbery I ever attempted, and I have been driven by distress to this.”",,,blunt,current novelistic events,2505,highwayman
,,"From that figure, therefore, which the Irish peer, who brought Sophia to town, hath already made in this history, the reader will conclude, doubtless, it must have been an easy matter to have discovered his house in London without knowing the particular street or square which he inhabited, since he must have been one whom everybody knows. To say the truth, so it would have been to any of those tradesmen who are accustomed to attend the regions of the great; for the doors of the great are generally no less easy to find than it is difficult to get entrance into them. But Jones, as well at Partridge, was an entire stranger in London; and as he happened to arrive first in a quarter of the town, the inhabitants of which have very little intercourse with the householders of Hanover or Grosvenor-square (for he entered through Gray's-inn-lane), so he rambled about some time, before he could even find his way to those happy mansions where fortune segregates from the vulgar those magnanimous heroes, the descendants of antient Britons, Saxons, or Danes, whose ancestors, being born in better days, by sundry kinds of merit, have entailed riches and honour on their posterity.",,,verbose,the world,2531,Tom and Mr Partridge
,,"These being over, the conversation began to be (as the phrase is) extremely brilliant. However, as nothing past in it which can be thought material to this history, or, indeed, very material in itself, I shall omit the relation; the rather, as I have known some very fine polite conversation grow extremely dull, when transcribed into books, or repeated on the stage. Indeed, this mental repast is a dainty, of which those who are excluded from polite assemblies must be contented to remain as ignorant as they must of the several dainties of French cookery, which are served only at the tables of the great. To say the truth, as neither of these are adapted to every taste, they might both be of thrown away on the vulgar.",,,blunt,writing,2574,"Lady Bellaston, peer, Mrs Fitzpatrick"
to say the truth,13.06,"Mrs Miller and Miss Nancy now both agreed with Mr Nightingale; nay,
Jones himself was almost persuaded to be of the same opinion. And as
no other lady but Mrs Fitzpatrick, he thought, knew his lodging, he
began to flatter himself with some hopes, that it came from her, and
that he might possibly see his Sophia. These hopes had surely very
little foundation; but as the conduct of Mrs Fitzpatrick, in not
seeing him according to her promise, and in quitting her lodgings, had
been very odd and unaccountable, he conceived some faint hopes, that
she (of whom he had formerly heard a very whimsical character) might
possibly intend to do him that service in a strange manner, which she
declined doing by more ordinary methods. To say the truth, as nothing
certain could be concluded from so odd and uncommon an incident, he
had the greater latitude to draw what imaginary conclusions from it he
pleased. As his temper therefore was naturally sanguine, he indulged
it on this occasion, and his imagination worked up a thousand
conceits, to favour and support his expectations of meeting his dear
Sophia in the evening.",interior,,verbose,current novelistic events,2616,Tom
to confess the truth,13.06,"To confess the truth, Mr Jones was now in a situation, which sometimes happens to be the case of young gentlemen of much better figure than himself. In short, he had not one penny in his pocket; a situation in much greater credit among the antient philosophers than among the modern wise men who live in Lombard-street, or those who frequent White's chocolate-house. And, perhaps, the great honours which those philosophers have ascribed to an empty pocket may be one of the reasons of that high contempt in which they are held in the aforesaid street and chocolate-house.",exterior,,verbose,current novelistic events,2621,Tom
to say the truth,13.06,"When the two gentlemen were both attired for the masquerade, and Mr
Nightingale had given orders for chairs to be sent for, a circumstance
of distress occurred to Jones, which will appear very ridiculous to
many of my readers. This was how to procure a shilling; but if such
readers will reflect a little on what they have themselves felt from
the want of a thousand pounds, or, perhaps, of ten or twenty, to
execute a favourite scheme, they will have a perfect idea of what Mr
Jones felt on this occasion. For this sum, therefore, he applied to
Partridge, which was the first he had permitted him to advance, and
was the last he intended that poor fellow should advance in his
service. To say the truth, Partridge had lately made no offer of this
kind. Whether it was that he desired to see the bank-bill broke in
upon, or that distress should prevail on Jones to return home, or from
what other motive it proceeded, I will not determine.",exterior,,blunt,current novelistic events,2629,Mr Partridge
to confess the truth,13.08,"Jones having refreshed himself with a few hours' sleep, summoned Partridge to his presence; and delivering him a bank-note of fifty pounds, ordered him to go and change it. Partridge received this with sparkling eyes, though, when he came to reflect farther, it raised in him some suspicions not very advantageous to the honour of his master: to these the dreadful idea he had of the masquerade, the disguise in which his master had gone out and returned, and his having been abroad all night, contributed. In plain language, the only way he could possibly find to account for the possession of this note, was by robbery: and, to confess the truth, the reader, unless he should suspect it was owing to the generosity of Lady Bellaston, can hardly imagine any other.",exterior,,obfuscatory,current novelistic events,2653,Lady Bellaston
to confess the truth,13.09,"To confess the truth, Jones was less pleased with this last epistle than he had been with the former, as he was prevented by it from complying with the earnest entreaties of Mr Nightingale, with whom he had now contracted much intimacy and friendship. These entreaties were to go with that young gentleman and his company to a new play, which was to be acted that evening, and which a very large party had agreed to damn, from some dislike they had taken to the author, who was a friend to one of Mr Nightingale's acquaintance. And this sort of fun, our heroe, we are ashamed to confess, would willingly have preferred to the above kind appointment; but his honour got the better of his inclination.",interior,,oblique,current novelistic events,2675,Tom
to say the truth,14.01,"To say the truth, I require no more than that a man should have some
little knowledge of the subject on which he treats, according to the
old maxim of law, _Quam quisque nôrit artem in eâ se exerceat_. With
this alone a writer may sometimes do tolerably well; and, indeed,
without this, all the other learning in the world will stand him in
little stead.",,I require,verbose,writing,2747,this novel
to say the truth,16.01,"To say the truth, I believe many a hearty curse hath been devoted on
the head of that author who first instituted the method of prefixing
to his play that portion of matter which is called the prologue; and
which at first was part of the piece itself, but of latter years hath
had usually so little connexion with the drama before which it stands,
that the prologue to one play might as well serve for any other. Those
indeed of more modern date, seem all to be written on the same three
topics, viz., an abuse of the taste of the town, a condemnation of all
contemporary authors, and an eulogium on the performance just about to
be represented. The sentiments in all these are very little varied,
nor is it possible they should; and indeed I have often wondered at
the great invention of authors, who have been capable of finding such
various phrases to express the same thing.",,I believe,verbose,writing,3112,this novel
to say the truth,16.06,"As the love which Blifil had for Sophia was of that violent kind,
which nothing but the loss of her fortune, or some such accident,
could lessen, his inclination to the match was not at all altered by
her having run away, though he was obliged to lay this to his own
account. He very readily, therefore, embraced this offer. Indeed, he
now proposed the gratification of a very strong passion besides
avarice, by marrying this young lady, and this was hatred; for he
concluded that matrimony afforded an equal opportunity of satisfying
either hatred or love; and this opinion is very probably verified by
much experience. To say the truth, if we are to judge by the ordinary
behaviour of married persons to each other, we shall perhaps be apt to
conclude that the generality seek the indulgence of the former passion
only, in their union of everything but of hearts.",,,verbose,the world,3220,Blifil
to say the truth,16.07,"If Mr Western was little pleased with this interview, Blifil was less.
As to the former, he imputed the whole behaviour of his sister to her
humour only, and to her dissatisfaction at the omission of ceremony in
the visit; but Blifil saw a little deeper into things. He suspected
somewhat of more consequence, from two or three words which dropt from
the lady; and, to say the truth, he suspected right, as will appear
when I have unfolded the several matters which will be contained in
the following chapter.",interior,,verbose,future novelistic events,3239,this novel
to say the truth,16.09,"And here we shall need only to resort to what happened the preceding
day, when, hearing from Lady Bellaston that Mr Western was arrived in
town, she went to pay her duty to him, at his lodgings at Piccadilly,
where she was received with many scurvy compellations too coarse to be
repeated, and was even threatened to be kicked out of doors. From
hence, an old servant of her aunt Western, with whom she was well
acquainted, conducted her to the lodgings of that lady, who treated
her not more kindly, but more politely; or, to say the truth, with
rudeness in another way. In short, she returned from both, plainly
convinced, not only that her scheme of reconciliation had proved
abortive, but that she must for ever give over all thoughts of
bringing it about by any means whatever. From this moment desire of
revenge only filled her mind; and in this temper meeting Jones at the
play, an opportunity seemed to her to occur of effecting this purpose.",exterior,,blunt,current novelistic events,3255,Mrs Western
to say the truth,16.09,"Jones now clearly saw the error he had committed, and exerted his
utmost power to rectify it; but he only faultered and stuttered into
nonsense and contradiction. To say the truth, it is often safer to
abide by the consequences of the first blunder than to endeavour to
rectify it; for by such endeavours we generally plunge deeper instead
of extricating ourselves; and few persons will on such occasions have
the good-nature which Mrs Fitzpatrick displayed to Jones, by saying,
with a smile, ""You need attempt no more excuses; for I can easily
forgive a real lover, whatever is the effect of fondness for his
mistress.""",,,verbose,the world,3261,Tom
to say the truth,16.09,"To say the truth, perfect beauty in both sexes is a more irresistible
object than it is generally thought; for, notwithstanding some of us
are contented with more homely lots, and learn by rote (as children to
repeat what gives them no idea) to despise outside, and to value more
solid charms; yet I have always observed, at the approach of
consummate beauty, that these more solid charms only shine with that
kind of lustre which the stars have after the rising of the sun.",,,verbose,the world,3266,Tom
to confess the truth,17.01,"The Arabians and Persians had an equal advantage in writing their tales from the genii and fairies, which they believe in as an article of their faith, upon the authority of the Koran itself. But we have none of these helps. To natural means alone we are confined; let us try therefore what, by these means, may be done for poor Jones; though to confess the truth, something whispers me in the ear that he doth not yet know the worst of his fortune; and that a more shocking piece of news than any he hath yet heard remains for him in the unopened leaves of fate.",,something whispers me in the ear,obfuscatory,future novelistic events,3300,this novel? Tom?
to say the truth,17.05,"The firmness and constancy of a true friend is a circumstance so
extremely delightful to persons in any kind of distress, that the
distress itself, if it be only temporary, and admits of relief, is
more than compensated by bringing this comfort with it. Nor are
instances of this kind so rare as some superficial and inaccurate
observers have reported. To say the truth, want of compassion is not
to be numbered among our general faults. The black ingredient which
fouls our disposition is envy. Hence our eye is seldom, I am afraid,
turned upward to those who are manifestly greater, better, wiser, or
happier than ourselves, without some degree of malignity; while we
commonly look downwards on the mean and miserable with sufficient
benevolence and pity. In fact, I have remarked, that most of the
defects which have discovered themselves in the friendships within my
observation have arisen from envy only: a hellish vice; and yet one
from which I have known very few absolutely exempt. But enough of a
subject which, if pursued, would lead me too far.",,,blunt,the world,3350,"Mrs Miller, Mr Nightingale"
to confess the truth,17.06,"That lady was most unluckily to dine this very day with her aunt Western, and in the afternoon they were all three, by appointment, to go together to the opera, and thence to Lady Thomas Hatchet's drum. Sophia would have gladly been excused from all, but would not disoblige her aunt; and as to the arts of counterfeiting illness, she was so entirely a stranger to them, that it never once entered into her head. When she was drest, therefore, down she went, resolved to encounter all the horrors of the day, and a most disagreeable one it proved; for Lady Bellaston took every opportunity very civilly and slily to insult her; to all which her dejection of spirits disabled her from making any return; and, indeed, to confess the truth, she was at the very best but an indifferent mistress of repartee.",exterior,,blunt,current novelistic events,3372,Sophia
to say truth,18.02,"Mrs Western, on her first arrival at her brother's lodging, began to
set forth the great honours and advantages which would accrue to the
family by the match with Lord Fellamar, which her niece had absolutely
refused; in which refusal, when the squire took the part of his
daughter, she fell immediately into the most violent passion, and so
irritated and provoked the squire, that neither his patience nor his
prudence could bear it any longer; upon which there ensued between
them both so warm a bout at altercation, that perhaps the regions of
Billingsgate never equalled it. In the heat of this scolding Mrs
Western departed, and had consequently no leisure to acquaint her
brother with the letter which Sophia received, which might have
possibly produced ill effects; but, to say truth, I believe it never
once occurred to her memory at this time.",interior,I believe,blunt,current novelistic events,3448,Mrs Western
to say truth,18.13,"Sophia had earnestly desired her father that no others of the company,
who were that day to dine with him, should be acquainted with her
marriage. The same secrecy was enjoined to Mrs Miller, and Jones
undertook for Allworthy. This somewhat reconciled the delicacy of
Sophia to the public entertainment which, in compliance with her
father's will, she was obliged to go to, greatly against her own
inclinations. In confidence of this secrecy she went through the day
pretty well, till the squire, who was now advanced into the second
bottle, could contain his joy no longer, but, filling out a bumper,
drank a health to the bride. The health was immediately pledged by all
present, to the great confusion of our poor blushing Sophia, and the
great concern of Jones upon her account. To say truth, there was not a
person present made wiser by this discovery; for Mrs Miller had
whispered it to her daughter, her daughter to her husband, her husband
to his sister, and she to all the rest.",interior,,blunt,current novelistic events,3595,assorted tertiary characters
